product_id,title,margin_band,movement_class,data_sufficient,units_sold,velocity_per_day,margin_pct,recommended_mechanic,margin_opportunity,confidence_label,confidence,rationale,expected_effect,priority_score,evidence_refs
7000828197913,Reed Diffuser Luxury Set,mid,fast,True,1241,3.345013,0.4611,Leave/minimal discount,medium,medium,0.6,Product already moves quickly; avoid discounting unless campaign evidence supports it.,Product-level metrics are structural because per-line product fields are synthesized in the sample.,1.2,"[""product_id:7000828197913"", ""movement_class:fast"", ""margin_band:mid"", ""units_sold:1241"", ""velocity_per_day:3.3450"", ""margin_pct:0.4611"", ""data_sufficient:True"", ""recommended_mechanic:Leave/minimal discount"", ""Product-level metrics are structural because per-line product fields are synthesized in the sample."", ""campaign:sc2|type:shipping|verdict:success|rc:margin_lift|volume_lift|shipping_order_level_attribution_coarse"", ""campaign:sc6|type:order|verdict:flop|rc:margin_erosion""]"
7000752187875,Home Fragrance Gift Box,low,fast,True,1052,2.83558,0.3637,Free Shipping,medium,high,1.0,Fast products with low margin should avoid deeper item discounts; shipping campaign has positive ROI. Shipping attribution is order-level and coarse.,Product-level metrics are structural because per-line product fields are synthesized in the sample. Shipping attribution is order-level and coarse.,1.0,"[""product_id:7000752187875"", ""movement_class:fast"", ""margin_band:low"", ""units_sold:1052"", ""velocity_per_day:2.8356"", ""margin_pct:0.3637"", ""data_sufficient:True"", ""recommended_mechanic:Free Shipping"", ""Product-level metrics are structural because per-line product fields are synthesized in the sample."", ""campaign_success_evidence:shipping"", ""shipping_attribution_coarse"", ""shipping_attribution_coarse"", ""campaign:sc2|type:shipping|verdict:success|rc:margin_lift|volume_lift|shipping_order_level_attribution_coarse"", ""campaign:sc6|type:order|verdict:flop|rc:margin_erosion"", ""campaign:sc8|type:shipping|verdict:inconclusive|rc:low_n:baseline_days=0<3|baseline_units=0<20|baseline_margin_per_day_invalid"", ""campaign:sc9|type:shipping|verdict:inconclusive|rc:low_n:baseline_days=0<3|baseline_units=0<20|baseline_margin_per_day_invalid""]"
7000019539811,Travel Candle Tin (free gift),low,fast,True,654,1.762803,0.0,Free Shipping,medium,high,1.0,Fast products with low margin should avoid deeper item discounts; shipping campaign has positive ROI. Shipping attribution is order-level and coarse.,Product-level metrics are structural because per-line product fields are synthesized in the sample. Shipping attribution is order-level and coarse.,1.0,"[""product_id:7000019539811"", ""movement_class:fast"", ""margin_band:low"", ""units_sold:654"", ""velocity_per_day:1.7628"", ""margin_pct:0.0000"", ""data_sufficient:True"", ""recommended_mechanic:Free Shipping"", ""Product-level metrics are structural because per-line product fields are synthesized in the sample."", ""campaign_success_evidence:shipping"", ""shipping_attribution_coarse"", ""shipping_attribution_coarse"", ""campaign:sc2|type:shipping|verdict:success|rc:margin_lift|volume_lift|shipping_order_level_attribution_coarse"", ""campaign:sc6|type:order|verdict:flop|rc:margin_erosion"", ""campaign:sc8|type:shipping|verdict:inconclusive|rc:low_n:baseline_days=0<3|baseline_units=0<20|baseline_margin_per_day_invalid"", ""campaign:sc9|type:shipping|verdict:inconclusive|rc:low_n:baseline_days=0<3|baseline_units=0<20|baseline_margin_per_day_invalid""]"
7000357423367,Linen Throw Blanket,high,fast,True,593,1.598383,0.4995,Leave/minimal discount,medium,high,1.0,Product already sells well with healthy margin; avoid unnecessary discounting.,Product-level metrics are structural because per-line product fields are synthesized in the sample.,2.0,"[""product_id:7000357423367"", ""movement_class:fast"", ""margin_band:high"", ""units_sold:593"", ""velocity_per_day:1.5984"", ""margin_pct:0.4995"", ""data_sufficient:True"", ""recommended_mechanic:Leave/minimal discount"", ""Product-level metrics are structural because per-line product fields are synthesized in the sample."", ""campaign:sc2|type:shipping|verdict:success|rc:margin_lift|volume_lift|shipping_order_level_attribution_coarse"", ""campaign:sc6|type:order|verdict:flop|rc:margin_erosion""]"
7000103320804,Decorative Throw Pillow Cover,high,fast,True,590,1.590296,0.5212,Leave/minimal discount,medium,high,1.0,Product already sells well with healthy margin; avoid unnecessary discounting.,Product-level metrics are structural because per-line product fields are synthesized in the sample.,2.0,"[""product_id:7000103320804"", ""movement_class:fast"", ""margin_band:high"", ""units_sold:590"", ""velocity_per_day:1.5903"", ""margin_pct:0.5212"", ""data_sufficient:True"", ""recommended_mechanic:Leave/minimal discount"", ""Product-level metrics are structural because per-line product fields are synthesized in the sample."", ""campaign:sc2|type:shipping|verdict:success|rc:margin_lift|volume_lift|shipping_order_level_attribution_coarse"", ""campaign:sc6|type:order|verdict:flop|rc:margin_erosion""]"
7000614995948,Soy Wax Pillar Candle,high,fast,True,580,1.563342,0.5812,Leave/minimal discount,medium,high,1.0,Product already sells well with healthy margin; avoid unnecessary discounting.,Product-level metrics are structural because per-line product fields are synthesized in the sample.,2.0,"[""product_id:7000614995948"", ""movement_class:fast"", ""margin_band:high"", ""units_sold:580"", ""velocity_per_day:1.5633"", ""margin_pct:0.5812"", ""data_sufficient:True"", ""recommended_mechanic:Leave/minimal discount"", ""Product-level metrics are structural because per-line product fields are synthesized in the sample."", ""campaign:sc2|type:shipping|verdict:success|rc:margin_lift|volume_lift|shipping_order_level_attribution_coarse"", ""campaign:sc6|type:order|verdict:flop|rc:margin_erosion""]"
7000172442836,Festive Eucalyptus Wreath,mid,medium,True,556,1.498652,0.4608,Leave/minimal discount,low,medium,0.6,No specific rule matched; keep discounting minimal until stronger evidence exists. [no_specific_rule_matched],Product-level metrics are structural because per-line product fields are synthesized in the sample.,0.6,"[""product_id:7000172442836"", ""movement_class:medium"", ""margin_band:mid"", ""units_sold:556"", ""velocity_per_day:1.4987"", ""margin_pct:0.4608"", ""data_sufficient:True"", ""recommended_mechanic:Leave/minimal discount"", ""Product-level metrics are structural because per-line product fields are synthesized in the sample."", ""campaign:sc2|type:shipping|verdict:success|rc:margin_lift|volume_lift|shipping_order_level_attribution_coarse"", ""campaign:sc6|type:order|verdict:flop|rc:margin_erosion""]"
7000291813017,Aroma Candle Collection (Set of 2),high,medium,True,501,1.350404,0.491,Volume/Bundle,medium,medium,0.6,Product has margin room and moderate velocity; test a bundle or volume mechanic.,Product-level metrics are structural because per-line product fields are synthesized in the sample.,0.4,"[""product_id:7000291813017"", ""movement_class:medium"", ""margin_band:high"", ""units_sold:501"", ""velocity_per_day:1.3504"", ""margin_pct:0.4910"", ""data_sufficient:True"", ""recommended_mechanic:Volume/Bundle"", ""Product-level metrics are structural because per-line product fields are synthesized in the sample."", ""campaign:sc2|type:shipping|verdict:success|rc:margin_lift|volume_lift|shipping_order_level_attribution_coarse"", ""campaign:sc3|type:volume|verdict:inconclusive|rc:low_n:baseline_days=0<3|baseline_units=0<20|baseline_margin_per_day_invalid"", ""campaign:sc5|type:volume|verdict:inconclusive|rc:low_n:baseline_days=0<3|baseline_units=0<20|baseline_margin_per_day_invalid"", ""campaign:sc6|type:order|verdict:flop|rc:margin_erosion""]"
7000791320830,Holiday Spice Candle (6-pack),low,medium,True,470,1.266846,0.3688,Avoid deeper discounts,medium,medium,0.6,Margin is already low; avoid discount mechanics that erode profit.,Product-level metrics are structural because per-line product fields are synthesized in the sample.,1.2,"[""product_id:7000791320830"", ""movement_class:medium"", ""margin_band:low"", ""units_sold:470"", ""velocity_per_day:1.2668"", ""margin_pct:0.3688"", ""data_sufficient:True"", ""recommended_mechanic:Avoid deeper discounts"", ""Product-level metrics are structural because per-line product fields are synthesized in the sample."", ""campaign:sc2|type:shipping|verdict:success|rc:margin_lift|volume_lift|shipping_order_level_attribution_coarse"", ""campaign:sc6|type:order|verdict:flop|rc:margin_erosion""]"
7000655717060,Scented Room Spray,low,medium,True,435,1.172507,0.0211,Avoid deeper discounts,medium,medium,0.6,Margin is already low; avoid discount mechanics that erode profit.,Product-level metrics are structural because per-line product fields are synthesized in the sample.,1.2,"[""product_id:7000655717060"", ""movement_class:medium"", ""margin_band:low"", ""units_sold:435"", ""velocity_per_day:1.1725"", ""margin_pct:0.0211"", ""data_sufficient:True"", ""recommended_mechanic:Avoid deeper discounts"", ""Product-level metrics are structural because per-line product fields are synthesized in the sample."", ""campaign:sc2|type:shipping|verdict:success|rc:margin_lift|volume_lift|shipping_order_level_attribution_coarse"", ""campaign:sc6|type:order|verdict:flop|rc:margin_erosion""]"
7000700036984,Luxury Scented Candle Duo,high,medium,True,380,1.024259,0.6314,Volume/Bundle,medium,medium,0.6,Product has margin room and moderate velocity; test a bundle or volume mechanic.,Product-level metrics are structural because per-line product fields are synthesized in the sample.,0.4,"[""product_id:7000700036984"", ""movement_class:medium"", ""margin_band:high"", ""units_sold:380"", ""velocity_per_day:1.0243"", ""margin_pct:0.6314"", ""data_sufficient:True"", ""recommended_mechanic:Volume/Bundle"", ""Product-level metrics are structural because per-line product fields are synthesized in the sample."", ""campaign:sc2|type:shipping|verdict:success|rc:margin_lift|volume_lift|shipping_order_level_attribution_coarse"", ""campaign:sc3|type:volume|verdict:inconclusive|rc:low_n:baseline_days=0<3|baseline_units=0<20|baseline_margin_per_day_invalid"", ""campaign:sc5|type:volume|verdict:inconclusive|rc:low_n:baseline_days=0<3|baseline_units=0<20|baseline_margin_per_day_invalid"", ""campaign:sc6|type:order|verdict:flop|rc:margin_erosion""]"
7000314237319,Seasonal Décor Bundle,mid,slow,True,378,1.018868,0.4749,Volume/Bundle,medium,medium,0.6,Product is slow with some margin room; bundle/volume mechanic may improve movement.,Product-level metrics are structural because per-line product fields are synthesized in the sample.,0.4,"[""product_id:7000314237319"", ""movement_class:slow"", ""margin_band:mid"", ""units_sold:378"", ""velocity_per_day:1.0189"", ""margin_pct:0.4749"", ""data_sufficient:True"", ""recommended_mechanic:Volume/Bundle"", ""Product-level metrics are structural because per-line product fields are synthesized in the sample."", ""campaign:sc2|type:shipping|verdict:success|rc:margin_lift|volume_lift|shipping_order_level_attribution_coarse"", ""campaign:sc3|type:volume|verdict:inconclusive|rc:low_n:baseline_days=0<3|baseline_units=0<20|baseline_margin_per_day_invalid"", ""campaign:sc5|type:volume|verdict:inconclusive|rc:low_n:baseline_days=0<3|baseline_units=0<20|baseline_margin_per_day_invalid"", ""campaign:sc6|type:order|verdict:flop|rc:margin_erosion""]"
7000090128723,Ceramic Vase & Bowl Set,mid,slow,True,305,0.822102,0.4754,Volume/Bundle,medium,medium,0.6,Product is slow with some margin room; bundle/volume mechanic may improve movement.,Product-level metrics are structural because per-line product fields are synthesized in the sample.,0.4,"[""product_id:7000090128723"", ""movement_class:slow"", ""margin_band:mid"", ""units_sold:305"", ""velocity_per_day:0.8221"", ""margin_pct:0.4754"", ""data_sufficient:True"", ""recommended_mechanic:Volume/Bundle"", ""Product-level metrics are structural because per-line product fields are synthesized in the sample."", ""campaign:sc2|type:shipping|verdict:success|rc:margin_lift|volume_lift|shipping_order_level_attribution_coarse"", ""campaign:sc3|type:volume|verdict:inconclusive|rc:low_n:baseline_days=0<3|baseline_units=0<20|baseline_margin_per_day_invalid"", ""campaign:sc5|type:volume|verdict:inconclusive|rc:low_n:baseline_days=0<3|baseline_units=0<20|baseline_margin_per_day_invalid"", ""campaign:sc6|type:order|verdict:flop|rc:margin_erosion""]"
7000446947906,Seasonal Table Runner,mid,slow,True,302,0.814016,0.4751,Volume/Bundle,medium,medium,0.6,Product is slow with some margin room; bundle/volume mechanic may improve movement.,Product-level metrics are structural because per-line product fields are synthesized in the sample.,0.4,"[""product_id:7000446947906"", ""movement_class:slow"", ""margin_band:mid"", ""units_sold:302"", ""velocity_per_day:0.8140"", ""margin_pct:0.4751"", ""data_sufficient:True"", ""recommended_mechanic:Volume/Bundle"", ""Product-level metrics are structural because per-line product fields are synthesized in the sample."", ""campaign:sc2|type:shipping|verdict:success|rc:margin_lift|volume_lift|shipping_order_level_attribution_coarse"", ""campaign:sc3|type:volume|verdict:inconclusive|rc:low_n:baseline_days=0<3|baseline_units=0<20|baseline_margin_per_day_invalid"", ""campaign:sc5|type:volume|verdict:inconclusive|rc:low_n:baseline_days=0<3|baseline_units=0<20|baseline_margin_per_day_invalid"", ""campaign:sc6|type:order|verdict:flop|rc:margin_erosion""]"
7000113321342,Summer Citrus Candle Set,mid,slow,True,132,0.355795,0.4582,Volume/Bundle,medium,medium,0.6,Product is slow with some margin room; bundle/volume mechanic may improve movement.,Product-level metrics are structural because per-line product fields are synthesized in the sample.,0.4,"[""product_id:7000113321342"", ""movement_class:slow"", ""margin_band:mid"", ""units_sold:132"", ""velocity_per_day:0.3558"", ""margin_pct:0.4582"", ""data_sufficient:True"", ""recommended_mechanic:Volume/Bundle"", ""Product-level metrics are structural because per-line product fields are synthesized in the sample."", ""campaign:sc2|type:shipping|verdict:success|rc:margin_lift|volume_lift|shipping_order_level_attribution_coarse"", ""campaign:sc3|type:volume|verdict:inconclusive|rc:low_n:baseline_days=0<3|baseline_units=0<20|baseline_margin_per_day_invalid"", ""campaign:sc5|type:volume|verdict:inconclusive|rc:low_n:baseline_days=0<3|baseline_units=0<20|baseline_margin_per_day_invalid"", ""campaign:sc6|type:order|verdict:flop|rc:margin_erosion""]"
7000117903643,Natural Beeswax Pillar Candle (3-pack),low,slow,True,112,0.301887,0.355,Avoid deeper discounts,low,medium,0.6,Product is slow and low-margin; deeper discounts are risky.,Product-level metrics are structural because per-line product fields are synthesized in the sample.,0.6,"[""product_id:7000117903643"", ""movement_class:slow"", ""margin_band:low"", ""units_sold:112"", ""velocity_per_day:0.3019"", ""margin_pct:0.3550"", ""data_sufficient:True"", ""recommended_mechanic:Avoid deeper discounts"", ""Product-level metrics are structural because per-line product fields are synthesized in the sample."", ""campaign:sc2|type:shipping|verdict:success|rc:margin_lift|volume_lift|shipping_order_level_attribution_coarse"", ""campaign:sc6|type:order|verdict:flop|rc:margin_erosion""]"
7000165029121,Clearance Aromatherapy Set,high,slow,True,71,0.191375,0.476,BXGY,high,high,1.0,Product has margin room but low velocity; use BXGY/gift mechanic to increase movement without blanket discounting.,Product-level metrics are structural because per-line product fields are synthesized in the sample.,1.0,"[""product_id:7000165029121"", ""movement_class:slow"", ""margin_band:high"", ""units_sold:71"", ""velocity_per_day:0.1914"", ""margin_pct:0.4760"", ""data_sufficient:True"", ""recommended_mechanic:BXGY"", ""Product-level metrics are structural because per-line product fields are synthesized in the sample."", ""campaign:sc1|type:buy_one_get_one|verdict:inconclusive|rc:low_n:baseline_days=0<3|baseline_units=0<20|baseline_margin_per_day_invalid"", ""campaign:sc2|type:shipping|verdict:success|rc:margin_lift|volume_lift|shipping_order_level_attribution_coarse"", ""campaign:sc6|type:order|verdict:flop|rc:margin_erosion"", ""campaign:sc7|type:buy_one_get_one|verdict:inconclusive|rc:low_n:baseline_days=0<3|baseline_units=0<20|baseline_margin_per_day_invalid""]"
7000147758218,Essential Oil Ultrasonic Diffuser,low,slow,False,5,0.013477,0.44,Collect more data,low,low,0.3,"Insufficient sample size (units_sold=5, min required=20). Do not overclaim on product-level metrics.",Insufficient product-level sample size; do not overclaim. Product-level metrics are structural because per-line product fields are synthesized in the sample.,0.3,"[""product_id:7000147758218"", ""units_sold:5"", ""rule0_insufficient_data"", ""Product-level metrics are structural because per-line product fields are synthesized in the sample.""]"
